shopId,shopName,shopGlng,shopGlat,shopPower,shopType,mainCategoryName,categoryURLName,shopGroupId,categoryName,comNum,dist_to_center
5292360,韩膳宫料理,121.47278899999999,31.234740000000002,40.0,10.0,韩国料理,food,2077120.0,美食,15542.0,2.294915683117446
17167873,小日月火锅,121.45123725043001,31.113748372396003,35.0,10.0,火锅,food,17167873.0,美食,4.0,6.05219954554889
33576166,DAIDO,121.31497399999999,31.192971999999997,35.0,10.0,咖啡厅,food,33576166.0,美食,69.0,6.510464018825005
18542185,重庆谢记麻辣烫,121.453548,31.276184000000004,35.0,10.0,麻辣烫,food,18542185.0,美食,47.0,5.811338265704282
18707544,青花椒砂锅鱼,121.235188,31.005144,50.0,10.0,川菜/家常菜,food,18707544.0,美食,2607.0,2.663130210060905
21303576,纯味斑鱼府,121.52372,31.226028999999997,50.0,10.0,鱼火锅,food,21303576.0,美食,5693.0,6.24655652710402
3017767,禾子香烘焙坊,121.16618999999999,30.896766999999997,35.0,10.0,西式甜点,food,3017761.0,美食,19.0,3.6049945738284475
2052679,老好吃大包店,121.431021999924,31.1495970000358,35.0,10.0,包子,food,2052679.0,美食,3.0,3.6689429675729928
22082636,1点点,121.43030800000001,31.247851,40.0,10.0,饮品,food,5542049.0,美食,364.0,3.975326293759762
4123082,園（缘）烧肉酒场,121.47808400000001,31.205657000000002,45.0,10.0,日式烧烤/铁板烧,food,67724527.0,美食,2900.0,0.8007014502808542
79045515,梦里寻她餐饮管理有限公司,121.37771755456923,31.26717205041029,0.0,10.0,快餐简餐,food,79045515.0,美食,0.0,1.954466362625634
27145354,正新鸡排,121.459158,30.913349,35.0,10.0,小吃,food,27145354.0,美食,36.0,4.874305313898014
22228470,重庆虎哥酸辣粉,121.250619,31.384590999999997,35.0,10.0,米粉,food,22228470.0,美食,22.0,1.9623972356690431
58051798,Amazon Cafe,121.39947,31.08612,35.0,10.0,咖啡厅,food,58051798.0,美食,19.0,4.040232853573125
23497758,永和豆浆,121.51668500000001,31.229271999999998,30.0,10.0,快餐简餐,food,23497758.0,美食,37.0,3.4611427498272103
22700921,申城特色爆鱼,121.44115900000001,31.307401000000002,30.0,10.0,小吃,food,22700921.0,美食,9.0,4.892464522409544
2499691,广潮烧味,121.48136000000001,31.212390000000003,35.0,10.0,熟食,food,2499691.0,美食,13.0,3.3242672157272244
6152684,伊秀寿司,121.40263600000002,31.210728000000003,45.0,10.0,日本料理,food,3507745.0,美食,4616.0,4.323054175775933
14737350,菌汤火锅,121.277153,31.116059999999997,35.0,10.0,火锅,food,6330788.0,美食,3.0,1.9852339264305652
13813104,天天小厨,121.416164,31.111351000000003,35.0,10.0,本帮江浙菜,food,4697996.0,美食,30.0,2.6479331599516596
2680942,四川北路葱油饼,121.483579,31.264009,35.0,10.0,小吃,food,2680942.0,美食,8.0,24.445498590155747
77501212,c yi the 忆 milk tea,121.24160900000001,31.058543,35.0,10.0,其他,food,77501212.0,美食,1.0,3.0632634502297766
23572981,于记生煎大王,121.596318,31.267146999999998,35.0,10.0,生煎,food,23572981.0,美食,12.0,2.0506664779392207
13777261,吉祥馄饨,121.61447,31.25587,35.0,10.0,馄饨,food,500283.0,美食,27.0,1.4079275778503755
8075466,RF-1,121.40308999999999,31.1974,35.0,10.0,小吃,food,8075466.0,美食,271.0,3.0749363199897393
77640211,佳味夜宵,121.641208009545,30.909846283675666,0.0,10.0,快餐简餐,food,77640211.0,美食,0.0,16.672212395038027
8043054,棒约翰比萨,121.44506100000001,31.321702000000002,40.0,10.0,比萨,food,503729.0,美食,1175.0,2.537522401466129
10334248,老洪帮苏州汤包馆,121.61578100000001,31.204192,35.0,10.0,小笼,food,10334248.0,美食,31.0,3.8826843566311795
73582245,西安5号米皮,121.30899,31.200867,35.0,10.0,小吃快餐,food,73582245.0,美食,42.0,5.808928145999062
90009578,绝味鸭脖,121.327849,31.128325,35.0,10.0,熟食,food,90009578.0,美食,9.0,9.314673081159885
6121518,段氏龙虾,121.4965,31.155241999999998,35.0,10.0,海鲜,food,82681372.0,美食,293.0,8.447209012800636
73594585,千味町居酒屋,121.372151,31.344878,40.0,10.0,寿司/简餐,food,73594585.0,美食,138.0,2.4789193634861424
56886738,真功夫,121.322175,31.140971999999998,35.0,10.0,快餐简餐,food,56886738.0,美食,1.0,5.292021116861532
24071442,新斗记,121.44221999999999,31.191926000000002,40.0,10.0,粤菜馆,food,6029378.0,美食,1367.0,7.198410334362011
