shopId,shopName,shopGlat,shopGlng,shopPower,shopType,mainCategoryName,categoryURLName,shopGroupId,categoryName,price,comNum
10666017,KABB西餐酒吧,31.21608,121.4577548,45,10,西餐,food,500322,美食,147,1869
10667371,扎啤工坊TapHouse,31.21124,121.45807,35,10,西餐,food,18813077,美食,90,201
10667792,大唐面馆,31.324915,121.53443,35,10,快餐简餐,food,10667792,美食,32,104
10667841,捞烫工房,31.032671169705,121.21744628906,35,10,麻辣烫,food,5155222,美食,17,3
10668630,四川香天下火锅,31.24184,121.53341,45,10,火锅,food,5859419,美食,148,9310
10675679,养生粥,31.18038,121.39358,35,10,粥店,food,5323997,美食,22,28
11546853,豪大大鸡排,31.20009,121.18251,35,10,快餐简餐,food,2849602,美食,13,3
11546966,久光freshmart鲜品馆,31.20583,121.40707,45,10,其他,food,1962697,美食,122,623
11547161,小辉哥火锅,31.234127,121.413251,45,10,火锅,food,5750860,美食,138,10205
11547241,Hooters猫头鹰餐厅,31.205932,121.407744,45,10,西餐,food,504366,美食,142,1046
11548041,上岛咖啡,31.03325,121.232173,30,10,上岛咖啡,food,501415,美食,65,42
11549156,呷哺呷哺,31.038503,121.218099,40,10,小火锅,food,4208059,美食,57,469
11549708,山崎面包,31.205932,121.407744,35,10,面包甜点,food,503577,美食,24,228
11550178,江南居绍兴人家,31.26324,121.60767,30,10,本帮江浙菜,food,11550178,美食,92,100
11551381,满记甜品,30.916005,121.48374,35,10,港台甜品,food,506067,美食,33,216
11552908,鱼羊老镇之崇明味道,31.184543,121.50541,35,10,本帮菜,food,15131237,美食,98,1426
11553024,阳松芳秦镇米皮,31.21815,121.417939,35,10,小吃快餐,food,11553024,美食,20,62
11553319,龙程斑鱼庄,31.269055,121.607449,40,10,鱼火锅,food,11553319,美食,108,887
11553659,武汉热干面,31.390422,121.388369,30,10,小吃快餐,food,11553659,美食,10,8
11554199,东北菜馆,31.168681,121.533051,35,10,东北菜,food,11554199,美食,42,33
11554605,滴水湖皇冠假日酒店微风大堂吧,30.890875,121.937254,35,10,咖啡厅,food,11554605,美食,88,153
11554659,本素●酸菜鱼,31.404015,121.258032,50,10,鱼火锅,food,11554659,美食,83,1691
